都道府県名,人口,年
北海道,5044825,2025
青森県,1185767,2025
岩手県,1153900,2025
宮城県,2224980,2025
秋田県,907593,2025
山形県,1012355,2025
福島県,1771314,2025
茨城県,2848597,2025
栃木県,1904173,2025
群馬県,1907976,2025
埼玉県,7374294,2025
千葉県,6311579,2025
東京都,14002534,2025
神奈川県,9202559,2025
新潟県,2110754,2025
富山県,1008536,2025
石川県,1098121,2025
福井県,746690,2025
山梨県,801056,2025
長野県,2012399,2025
岐阜県,1951292,2025
静岡県,3575704,2025
愛知県,7483755,2025
三重県,1741266,2025
滋賀県,1405246,2025
京都府,2472013,2025
大阪府,8771961,2025
兵庫県,5393607,2025
奈良県,1303867,2025
和歌山県,901193,2025
鳥取県,534003,2025
島根県,642590,2025
岡山県,1835478,2025
広島県,2728771,2025
山口県,1292956,2025
徳島県,700409,2025
香川県,939965,2025
愛媛県,1296359,2025
高知県,664863,2025
福岡県,5086957,2025
佐賀県,794252,2025
長崎県,1274371,2025
熊本県,1716360,2025
大分県,1102102,2025
宮崎県,1048347,2025
鹿児島県,1558920,2025
沖縄県,1484081,2025
